epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7978,3.12675,4.09502,4.16543,0.00205,0.40099,0.00213,0.00079,2.58685,4.10074,4.13498,0.000649123,0.000649123,0.000649123
2,150.462,3.01204,3.86658,4.0619,0.00229,0.5099,0.00269,0.001,2.52213,4.05821,4.05064,0.00131145,0.00131145,0.00131145
3,223.92,2.98241,3.66144,3.89605,0.00249,0.55446,0.00722,0.0023,2.33429,4.1302,3.82365,0.00196937,0.00196937,0.00196937
4,302.122,3.01879,3.53123,3.75407,0.06635,0.25743,0.03128,0.00943,2.49241,3.99494,3.41602,0.0019802,0.0019802,0.0019802
5,374.597,3.01172,3.32043,3.5506,0.14543,0.15842,0.06508,0.0194,2.50898,3.68134,3.38932,0.0019736,0.0019736,0.0019736
6,447.68,3.01217,3.33058,3.4862,0.00264,0.57426,0.00233,0.00086,2.41131,20.0974,4.08788,0.001967,0.001967,0.001967
7,520.43,2.89954,3.15219,3.323,0.01214,0.03465,0.00395,0.00146,2.61707,10.9421,4.0444,0.0019604,0.0019604,0.0019604
8,592.104,2.86286,3.16319,3.25462,0.05113,0.04455,0.01193,0.00428,2.49932,3.80854,3.79216,0.0019538,0.0019538,0.0019538
9,679.531,2.70882,2.97754,3.15851,0.04994,0.06931,0.02053,0.00726,2.86422,4.13001,4.25744,0.0019472,0.0019472,0.0019472
10,750.999,2.80663,2.91096,3.2114,0.11818,0.02475,0.01578,0.00618,3.2628,4.35129,4.91941,0.0019406,0.0019406,0.0019406
11,822.731,2.70415,2.99962,3.13629,0.03875,0.32673,0.02385,0.00768,2.16563,3.73984,3.07457,0.001934,0.001934,0.001934
12,894.901,2.68225,2.90554,3.08509,0.17456,0.42923,0.12788,0.0462,2.11756,2.94117,2.65123,0.0019274,0.0019274,0.0019274
13,974.708,2.47553,2.92492,2.96013,0.14416,0.32673,0.1261,0.04672,2.12266,2.86134,2.62313,0.0019208,0.0019208,0.0019208
14,1052.65,2.58369,2.71584,2.96425,0.21552,0.23267,0.16023,0.06588,1.96735,2.90056,2.55226,0.0019142,0.0019142,0.0019142
15,1130.5,2.61635,2.62542,3.09737,0.13017,0.48515,0.1257,0.04208,2.1176,3.65066,2.68732,0.0019076,0.0019076,0.0019076
16,1207.03,2.4083,2.50374,2.88498,0.32315,0.4703,0.36037,0.14694,1.96878,3.1026,2.49608,0.001901,0.001901,0.001901
17,1279.24,2.55199,2.57674,2.96802,0.44336,0.42079,0.40207,0.16463,1.94502,2.46053,2.544,0.0018944,0.0018944,0.0018944
18,1352.22,2.47721,2.54161,2.91775,0.42595,0.42977,0.39108,0.16942,1.92686,2.71662,2.58054,0.0018878,0.0018878,0.0018878
19,1424.34,2.41888,2.37579,2.87982,0.21405,0.32673,0.18273,0.08234,1.89254,2.59069,2.56083,0.0018812,0.0018812,0.0018812
20,1496.4,2.37666,2.42476,2.85282,0.35169,0.50495,0.41783,0.16377,1.88303,2.5244,2.54249,0.0018746,0.0018746,0.0018746
21,1568.79,2.43056,2.35586,2.88147,0.53009,0.39604,0.45062,0.21307,1.8491,2.34643,2.45079,0.001868,0.001868,0.001868
22,1640.8,2.44774,2.35681,2.82887,0.44984,0.44526,0.44842,0.21709,1.84327,2.28303,2.44046,0.0018614,0.0018614,0.0018614
23,1712.65,2.34082,2.3343,2.8145,0.48397,0.43644,0.45798,0.21771,1.8754,2.40562,2.53803,0.0018548,0.0018548,0.0018548
24,1785.4,2.33774,2.31516,2.82752,0.4807,0.4491,0.44968,0.21257,1.86516,2.23734,2.57719,0.0018482,0.0018482,0.0018482
25,1857.69,2.23894,2.13959,2.69523,0.54912,0.63305,0.6178,0.30551,1.7736,2.1934,2.35821,0.0018416,0.0018416,0.0018416
26,1929.48,2.3149,2.27082,2.74962,0.47993,0.4802,0.5084,0.23428,1.81786,2.12715,2.34989,0.001835,0.001835,0.001835
27,2002.29,2.38063,2.18493,2.82092,0.58541,0.55941,0.61748,0.27762,1.82127,1.9704,2.44391,0.0018284,0.0018284,0.0018284
28,2073.91,2.38328,2.2225,2.75986,0.65487,0.56931,0.65497,0.31915,1.7758,1.93835,2.41729,0.0018218,0.0018218,0.0018218
29,2145.81,2.3437,2.05453,2.75024,0.47202,0.44554,0.4849,0.23228,1.78923,2.74901,2.37515,0.0018152,0.0018152,0.0018152
30,2218.06,2.25859,1.98698,2.70583,0.68417,0.48515,0.55818,0.28374,1.71135,2.04019,2.40974,0.0018086,0.0018086,0.0018086
31,2290.27,2.24441,2.03986,2.69134,0.68586,0.6377,0.7295,0.37935,1.67388,1.80016,2.31236,0.001802,0.001802,0.001802
32,2362.73,2.28335,2.12583,2.7076,0.72137,0.56393,0.68755,0.34815,1.68665,1.81262,2.34304,0.0017954,0.0017954,0.0017954
33,2434.96,2.21941,1.94563,2.67244,0.70466,0.5495,0.67687,0.36872,1.62002,1.75783,2.22525,0.0017888,0.0017888,0.0017888
34,2507.12,2.10107,1.9005,2.57722,0.73836,0.62871,0.74073,0.40023,1.62766,1.9505,2.26284,0.0017822,0.0017822,0.0017822
35,2579,2.12803,1.85508,2.57592,0.80164,0.68022,0.82183,0.43388,1.64646,1.53922,2.22742,0.0017756,0.0017756,0.0017756
36,2650.65,2.1139,1.80272,2.57962,0.7456,0.66832,0.76813,0.36954,1.70011,2.42778,2.2569,0.001769,0.001769,0.001769
37,2722.35,2.17214,1.85672,2.61949,0.61255,0.69307,0.69896,0.37909,1.63975,1.6184,2.21938,0.0017624,0.0017624,0.0017624
38,2794.25,1.95334,1.79223,2.45459,0.74689,0.63861,0.76227,0.42475,1.60013,1.74974,2.28058,0.0017558,0.0017558,0.0017558
39,2866.47,1.97308,1.81464,2.49521,0.735,0.68654,0.79325,0.43299,1.5805,1.7738,2.21399,0.0017492,0.0017492,0.0017492
40,2938.04,1.9391,1.70739,2.44642,0.77623,0.70792,0.81064,0.45127,1.57419,1.57622,2.18269,0.0017426,0.0017426,0.0017426
41,3009.49,1.87641,1.70882,2.42658,0.78426,0.72277,0.8243,0.48257,1.51369,1.35788,2.12722,0.001736,0.001736,0.001736
42,3080.98,1.90399,1.69536,2.44015,0.74355,0.70331,0.80717,0.45844,1.60008,1.42835,2.25584,0.0017294,0.0017294,0.0017294
43,3152.73,1.86735,1.63123,2.40596,0.78945,0.76102,0.84914,0.49991,1.50583,1.47138,2.09547,0.0017228,0.0017228,0.0017228
